Number of parties: 4
my pid: 3

==================================================
2019-07-03 03:46:48,426 Start MPyC runtime v0.5
2019-07-03 03:46:48,504 All 4 parties connected.
================================================== 

[*] Sample 0: NULL
[*] Sample 1: NULL
[*] Sample 2: 1
[*] Sample 3: NULL
[*] Sample 4: NULL
[*] Sample 5: 1
[*] Sample 6: 9
[*] Sample 7: 4
[*] Sample 8: NULL
[*] Sample 9: NULL
[*] Sample 10: NULL
[*] Sample 11: NULL
[*] Sample 12: 5
[*] Sample 13: NULL
[*] Sample 14: NULL
[*] Sample 15: NULL
[*] Sample 16: 9
[*] Sample 17: NULL
[*] Sample 18: 1
[*] Sample 19: 4
[*] Sample 20: 9
[*] Sample 21: 6
[*] Sample 22: 4
[*] Sample 23: 5
[*] Sample 24: NULL
[*] Sample 25: 0
[*] Sample 26: NULL
[*] Sample 27: 4
[*] Sample 28: NULL
[*] Sample 29: 1
[*] Sample 30: 3
[*] Sample 31: NULL
[*] Sample 32: NULL
[*] Sample 33: NULL
[*] Sample 34: NULL
[*] Sample 35: 2
[*] Sample 36: NULL
[*] Sample 37: 1
[*] Sample 38: NULL
[*] Sample 39: 1
[*] Sample 40: NULL
[*] Sample 41: 7
[*] Sample 42: 4
[*] Sample 43: 2
[*] Sample 44: NULL
[*] Sample 45: NULL
[*] Sample 46: NULL
[*] Sample 47: NULL
[*] Sample 48: NULL
[*] Sample 49: 4
[*] Sample 50: 6
[*] Sample 51: 3
[*] Sample 52: 5
[*] Sample 53: NULL
[*] Sample 54: NULL
[*] Sample 55: NULL
[*] Sample 56: 4
[*] Sample 57: 1
[*] Sample 58: NULL
[*] Sample 59: 5
[*] Sample 60: NULL
[*] Sample 61: NULL
[*] Sample 62: NULL
[*] Sample 63: 2
[*] Sample 64: 7
[*] Sample 65: NULL
[*] Sample 66: NULL
[*] Sample 67: 4
[*] Sample 68: 8
[*] Sample 69: 0
[*] Sample 70: 7
[*] Sample 71: NULL
[*] Sample 72: NULL
[*] Sample 73: NULL
[*] Sample 74: NULL
[*] Sample 75: 7
[*] Sample 76: NULL
[*] Sample 77: NULL
[*] Sample 78: 8
[*] Sample 79: NULL
[*] Sample 80: NULL
[*] Sample 81: 6
[*] Sample 82: 2
[*] Sample 83: NULL
[*] Sample 84: 5
[*] Sample 85: 0
[*] Sample 86: 7
[*] Sample 87: 3
[*] Sample 88: 6
[*] Sample 89: 1
[*] Sample 90: NULL
[*] Sample 91: 7
[*] Sample 92: NULL
[*] Sample 93: 3
[*] Sample 94: 1
[*] Sample 95: 4
[*] Sample 96: NULL
[*] Sample 97: NULL
[*] Sample 98: NULL
[*] Sample 99: 9
[*] Sample 100: 6
[*] Sample 101: NULL
[*] Sample 102: 5
[*] Sample 103: NULL
[*] Sample 104: 9
[*] Sample 105: 9
[*] Sample 106: 2
[*] Sample 107: NULL
[*] Sample 108: 9
[*] Sample 109: 4
[*] Sample 110: 4
[*] Sample 111: NULL
[*] Sample 112: 3
[*] Sample 113: 9
[*] Sample 114: 7
[*] Sample 115: NULL
[*] Sample 116: NULL
[*] Sample 117: 4
[*] Sample 118: NULL
[*] Sample 119: NULL
[*] Sample 120: NULL
[*] Sample 121: NULL
[*] Sample 122: NULL
[*] Sample 123: 6
[*] Sample 124: 7
[*] Sample 125: NULL
[*] Sample 126: 6
[*] Sample 127: 5
[*] Sample 128: NULL
[*] Sample 129: 5
[*] Sample 130: NULL
[*] Sample 131: NULL
[*] Sample 132: NULL
[*] Sample 133: 5
[*] Sample 134: NULL
[*] Sample 135: 1
[*] Sample 136: 0
[*] Sample 137: NULL
[*] Sample 138: 6
[*] Sample 139: 4
[*] Sample 140: 6
[*] Sample 141: 7
[*] Sample 142: 3
[*] Sample 143: NULL
[*] Sample 144: NULL
[*] Sample 145: 1
[*] Sample 146: NULL
[*] Sample 147: NULL
[*] Sample 148: NULL
[*] Sample 149: NULL
[*] Sample 150: 7
[*] Sample 151: 2
[*] Sample 152: NULL
[*] Sample 153: 3
[*] Sample 154: NULL
[*] Sample 155: NULL
[*] Sample 156: 8
[*] Sample 157: 0
[*] Sample 158: NULL
[*] Sample 159: NULL
[*] Sample 160: 8
[*] Sample 161: 6
[*] Sample 162: NULL
[*] Sample 163: NULL
[*] Sample 164: NULL
[*] Sample 165: NULL
[*] Sample 166: 4
[*] Sample 167: NULL
[*] Sample 168: 1
[*] Sample 169: NULL
[*] Sample 170: 4
[*] Sample 171: 7
[*] Sample 172: NULL
[*] Sample 173: 3
[*] Sample 174: 5
[*] Sample 175: NULL
[*] Sample 176: 1
[*] Sample 177: NULL
[*] Sample 178: NULL
[*] Sample 179: NULL
[*] Sample 180: NULL
[*] Sample 181: NULL
[*] Sample 182: 5
[*] Sample 183: NULL
[*] Sample 184: NULL
[*] Sample 185: NULL
[*] Sample 186: 2
[*] Sample 187: NULL
[*] Sample 188: 8
[*] Sample 189: NULL
[*] Sample 190: 1
[*] Sample 191: NULL
[*] Sample 192: 0
[*] Sample 193: 9
[*] Sample 194: 5
[*] Sample 195: NULL
[*] Sample 196: 1
[*] Sample 197: 6
[*] Sample 198: NULL
[*] Sample 199: 2
[*] Sample 200: 0
[*] Sample 201: NULL
[*] Sample 202: NULL
[*] Sample 203: 1
[*] Sample 204: NULL
[*] Sample 205: 3
[*] Sample 206: 9
[*] Sample 207: NULL
[*] Sample 208: 1
[*] Sample 209: NULL
[*] Sample 210: NULL
[*] Sample 211: 5
[*] Sample 212: 9
[*] Sample 213: 9
[*] Sample 214: NULL
[*] Sample 215: NULL
[*] Sample 216: 3
[*] Sample 217: NULL
[*] Sample 218: 0
[*] Sample 219: 0
[*] Sample 220: NULL
[*] Sample 221: NULL
[*] Sample 222: NULL
[*] Sample 223: 3
[*] Sample 224: 1
[*] Sample 225: 2
[*] Sample 226: 8
[*] Sample 227: NULL
[*] Sample 228: 1
[*] Sample 229: NULL
[*] Sample 230: 3
[*] Sample 231: 3
[*] Sample 232: NULL
[*] Sample 233: NULL
[*] Sample 234: 7
[*] Sample 235: 5
[*] Sample 236: 1
[*] Sample 237: NULL
[*] Sample 238: 4
[*] Sample 239: 1
[*] Sample 240: 7
[*] Sample 241: NULL
[*] Sample 242: 9
[*] Sample 243: NULL
[*] Sample 244: 2
[*] Sample 245: 2
[*] Sample 246: NULL
[*] Sample 247: NULL
[*] Sample 248: 4
[*] Sample 249: NULL
[*] Sample 250: NULL
[*] Sample 251: NULL
[*] Sample 252: 9
[*] Sample 253: NULL
[*] Sample 254: 7
[*] Sample 255: NULL
[*] Sample 256: NULL
[*] Sample 257: 8
[*] Sample 258: 2
[*] Sample 259: NULL
[*] Sample 260: NULL
[*] Sample 261: 5
[*] Sample 262: NULL
[*] Sample 263: NULL
[*] Sample 264: NULL
[*] Sample 265: NULL
[*] Sample 266: NULL
[*] Sample 267: 1
[*] Sample 268: NULL
[*] Sample 269: 0
[*] Sample 270: 3
[*] Sample 271: 0
[*] Sample 272: 1
[*] Sample 273: 9
[*] Sample 274: NULL
[*] Sample 275: 4
[*] Sample 276: NULL
[*] Sample 277: 7
[*] Sample 278: 2
[*] Sample 279: 1
[*] Sample 280: NULL
[*] Sample 281: 9
[*] Sample 282: NULL
[*] Sample 283: 5
[*] Sample 284: 9
[*] Sample 285: 6
[*] Sample 286: NULL
[*] Sample 287: 4
[*] Sample 288: 1
[*] Sample 289: NULL
[*] Sample 290: 4
[*] Sample 291: 2
[*] Sample 292: 9
[*] Sample 293: 2
[*] Sample 294: 0
[*] Sample 295: NULL
[*] Sample 296: NULL
[*] Sample 297: NULL
[*] Sample 298: NULL
[*] Sample 299: NULL
[*] Sample 300: NULL
[*] Sample 301: 3
[*] Sample 302: 1
[*] Sample 303: 2
[*] Sample 304: NULL
[*] Sample 305: NULL
[*] Sample 306: NULL
[*] Sample 307: 1
[*] Sample 308: NULL
[*] Sample 309: NULL
[*] Sample 310: NULL
[*] Sample 311: 0
[*] Sample 312: NULL
[*] Sample 313: 3
[*] Sample 314: 6
[*] Sample 315: 9
[*] Sample 316: 4
[*] Sample 317: NULL
[*] Sample 318: NULL
[*] Sample 319: NULL
[*] Sample 320: NULL
[*] Sample 321: NULL
[*] Sample 322: 9
[*] Sample 323: 3
[*] Sample 324: 0
[*] Sample 325: NULL
[*] Sample 326: 2
[*] Sample 327: 0
[*] Sample 328: 7
[*] Sample 329: 6
[*] Sample 330: 1
[*] Sample 331: 2
[*] Sample 332: NULL
[*] Sample 333: 5
[*] Sample 334: 1
[*] Sample 335: 3
[*] Sample 336: NULL
[*] Sample 337: 7
[*] Sample 338: NULL
[*] Sample 339: 6
[*] Sample 340: NULL
[*] Sample 341: NULL
[*] Sample 342: NULL
[*] Sample 343: NULL
[*] Sample 344: NULL
[*] Sample 345: 1
[*] Sample 346: NULL
[*] Sample 347: NULL
[*] Sample 348: NULL
[*] Sample 349: NULL
[*] Sample 350: 1
[*] Sample 351: NULL
[*] Sample 352: NULL
[*] Sample 353: 0
[*] Sample 354: 1
[*] Sample 355: 8
[*] Sample 356: NULL
[*] Sample 357: 1
[*] Sample 358: NULL
[*] Sample 359: NULL
[*] Sample 360: NULL
[*] Sample 361: 6
[*] Sample 362: NULL
[*] Sample 363: 2
[*] Sample 364: 5
[*] Sample 365: NULL
[*] Sample 366: NULL
[*] Sample 367: 6
[*] Sample 368: NULL
[*] Sample 369: 3
[*] Sample 370: NULL
[*] Sample 371: 2
[*] Sample 372: NULL
[*] Sample 373: NULL
[*] Sample 374: 8
[*] Sample 375: 5
[*] Sample 376: NULL
[*] Sample 377: 1
[*] Sample 378: 1
[*] Sample 379: 9
[*] Sample 380: NULL
[*] Sample 381: NULL
[*] Sample 382: 4
[*] Sample 383: 7
[*] Sample 384: NULL
[*] Sample 385: 9
[*] Sample 386: NULL
[*] Sample 387: NULL
[*] Sample 388: 1
[*] Sample 389: 9
[*] Sample 390: 2
[*] Sample 391: 8
[*] Sample 392: NULL
[*] Sample 393: 4
[*] Sample 394: 9
[*] Sample 395: NULL
[*] Sample 396: NULL
[*] Sample 397: NULL
[*] Sample 398: NULL
[*] Sample 399: 4
[*] Sample 400: NULL
[*] Sample 401: 8
[*] Sample 402: NULL
[*] Sample 403: NULL
[*] Sample 404: NULL
[*] Sample 405: NULL
[*] Sample 406: 0
[*] Sample 407: 0
[*] Sample 408: 3
[*] Sample 409: 1
[*] Sample 410: NULL
[*] Sample 411: 7
[*] Sample 412: 1
[*] Sample 413: 7
[*] Sample 414: NULL
[*] Sample 415: 7
[*] Sample 416: NULL
[*] Sample 417: NULL
[*] Sample 418: 4
[*] Sample 419: NULL
[*] Sample 420: NULL
[*] Sample 421: NULL
[*] Sample 422: NULL
[*] Sample 423: 2
[*] Sample 424: 0
[*] Sample 425: NULL
[*] Sample 426: 9
[*] Sample 427: NULL
[*] Sample 428: NULL
[*] Sample 429: 8
[*] Sample 430: NULL
[*] Sample 431: 8
[*] Sample 432: 4
[*] Sample 433: 5
[*] Sample 434: 9
[*] Sample 435: 8
[*] Sample 436: 8
[*] Sample 437: 3
[*] Sample 438: NULL
[*] Sample 439: 6
[*] Sample 440: NULL
[*] Sample 441: NULL
[*] Sample 442: NULL
[*] Sample 443: NULL
[*] Sample 444: 8
[*] Sample 445: 5
[*] Sample 446: 2
[*] Sample 447: 4
[*] Sample 448: 8
