Number of parties: 4
my pid: 3

==================================================
2019-07-03 02:25:36,383 Start MPyC runtime v0.5
2019-07-03 02:25:36,441 All 4 parties connected.
================================================== 

[*] Sample 0: NULL
[*] Sample 1: 2
[*] Sample 2: NULL
[*] Sample 3: 0
[*] Sample 4: 6
[*] Sample 5: NULL
[*] Sample 6: 9
[*] Sample 7: 1
[*] Sample 8: NULL
[*] Sample 9: 8
[*] Sample 10: NULL
[*] Sample 11: 6
[*] Sample 12: 5
[*] Sample 13: 1
[*] Sample 14: 4
[*] Sample 15: 4
[*] Sample 16: NULL
[*] Sample 17: 6
[*] Sample 18: NULL
[*] Sample 19: NULL
[*] Sample 20: 2
[*] Sample 21: 0
[*] Sample 22: NULL
[*] Sample 23: 3
[*] Sample 24: 2
[*] Sample 25: NULL
[*] Sample 26: 4
[*] Sample 27: NULL
[*] Sample 28: NULL
[*] Sample 29: NULL
[*] Sample 30: 9
[*] Sample 31: NULL
[*] Sample 32: NULL
[*] Sample 33: NULL
[*] Sample 34: NULL
[*] Sample 35: 1
[*] Sample 36: 7
[*] Sample 37: NULL
[*] Sample 38: NULL
[*] Sample 39: NULL
[*] Sample 40: NULL
[*] Sample 41: NULL
[*] Sample 42: NULL
[*] Sample 43: 1
[*] Sample 44: 9
[*] Sample 45: 6
[*] Sample 46: NULL
[*] Sample 47: 4
[*] Sample 48: 0
[*] Sample 49: 6
[*] Sample 50: NULL
[*] Sample 51: NULL
[*] Sample 52: NULL
[*] Sample 53: 1
[*] Sample 54: 7
[*] Sample 55: 6
[*] Sample 56: 0
[*] Sample 57: NULL
[*] Sample 58: 0
[*] Sample 59: NULL
[*] Sample 60: NULL
[*] Sample 61: NULL
[*] Sample 62: NULL
[*] Sample 63: 4
[*] Sample 64: 1
[*] Sample 65: 0
[*] Sample 66: 8
[*] Sample 67: 9
[*] Sample 68: 3
[*] Sample 69: 2
[*] Sample 70: NULL
[*] Sample 71: NULL
[*] Sample 72: NULL
[*] Sample 73: NULL
[*] Sample 74: NULL
[*] Sample 75: NULL
[*] Sample 76: 2
[*] Sample 77: NULL
[*] Sample 78: 3
[*] Sample 79: NULL
[*] Sample 80: 4
[*] Sample 81: NULL
[*] Sample 82: 7
[*] Sample 83: NULL
[*] Sample 84: NULL
[*] Sample 85: NULL
[*] Sample 86: NULL
[*] Sample 87: NULL
[*] Sample 88: 0
[*] Sample 89: NULL
[*] Sample 90: 0
[*] Sample 91: 4
[*] Sample 92: NULL
[*] Sample 93: NULL
[*] Sample 94: NULL
[*] Sample 95: NULL
[*] Sample 96: 7
[*] Sample 97: 1
[*] Sample 98: 7
[*] Sample 99: NULL
[*] Sample 100: 4
[*] Sample 101: NULL
[*] Sample 102: 2
[*] Sample 103: NULL
[*] Sample 104: NULL
[*] Sample 105: NULL
[*] Sample 106: 3
[*] Sample 107: NULL
[*] Sample 108: NULL
[*] Sample 109: NULL
[*] Sample 110: 3
[*] Sample 111: NULL
[*] Sample 112: NULL
[*] Sample 113: NULL
[*] Sample 114: 0
[*] Sample 115: 7
[*] Sample 116: NULL
[*] Sample 117: NULL
[*] Sample 118: NULL
[*] Sample 119: NULL
[*] Sample 120: 8
[*] Sample 121: 8
[*] Sample 122: 1
[*] Sample 123: NULL
[*] Sample 124: NULL
[*] Sample 125: NULL
[*] Sample 126: NULL
[*] Sample 127: 4
[*] Sample 128: 2
[*] Sample 129: 8
[*] Sample 130: NULL
[*] Sample 131: NULL
[*] Sample 132: 7
[*] Sample 133: 4
[*] Sample 134: 8
[*] Sample 135: 2
[*] Sample 136: NULL
[*] Sample 137: NULL
[*] Sample 138: NULL
[*] Sample 139: NULL
[*] Sample 140: 1
[*] Sample 141: 2
[*] Sample 142: NULL
[*] Sample 143: NULL
[*] Sample 144: NULL
[*] Sample 145: NULL
[*] Sample 146: 1
[*] Sample 147: NULL
[*] Sample 148: NULL
[*] Sample 149: 3
[*] Sample 150: 1
[*] Sample 151: NULL
[*] Sample 152: NULL
[*] Sample 153: NULL
[*] Sample 154: NULL
[*] Sample 155: NULL
[*] Sample 156: NULL
[*] Sample 157: NULL
[*] Sample 158: 8
[*] Sample 159: NULL
[*] Sample 160: 4
[*] Sample 161: 9
[*] Sample 162: 3
[*] Sample 163: 6
[*] Sample 164: 1
[*] Sample 165: NULL
[*] Sample 166: NULL
[*] Sample 167: NULL
[*] Sample 168: NULL
[*] Sample 169: NULL
[*] Sample 170: 7
[*] Sample 171: NULL
[*] Sample 172: 7
[*] Sample 173: 2
[*] Sample 174: NULL
[*] Sample 175: NULL
[*] Sample 176: NULL
[*] Sample 177: 9
[*] Sample 178: NULL
[*] Sample 179: NULL
[*] Sample 180: NULL
[*] Sample 181: NULL
[*] Sample 182: NULL
[*] Sample 183: 5
[*] Sample 184: 4
[*] Sample 185: 8
[*] Sample 186: 3
[*] Sample 187: 2
[*] Sample 188: 1
[*] Sample 189: NULL
[*] Sample 190: 2
[*] Sample 191: NULL
[*] Sample 192: 1
[*] Sample 193: NULL
[*] Sample 194: NULL
[*] Sample 195: 3
[*] Sample 196: NULL
[*] Sample 197: NULL
[*] Sample 198: NULL
[*] Sample 199: 3
[*] Sample 200: NULL
[*] Sample 201: NULL
[*] Sample 202: 3
[*] Sample 203: NULL
[*] Sample 204: 6
[*] Sample 205: 2
[*] Sample 206: NULL
[*] Sample 207: 9
[*] Sample 208: NULL
[*] Sample 209: NULL
[*] Sample 210: NULL
[*] Sample 211: NULL
[*] Sample 212: NULL
[*] Sample 213: NULL
[*] Sample 214: NULL
[*] Sample 215: 3
[*] Sample 216: 1
[*] Sample 217: NULL
[*] Sample 218: 1
[*] Sample 219: 2
[*] Sample 220: 0
[*] Sample 221: 2
[*] Sample 222: NULL
[*] Sample 223: NULL
[*] Sample 224: 1
[*] Sample 225: 0
[*] Sample 226: NULL
[*] Sample 227: NULL
[*] Sample 228: NULL
[*] Sample 229: NULL
[*] Sample 230: 2
[*] Sample 231: 5
[*] Sample 232: NULL
[*] Sample 233: NULL
[*] Sample 234: 1
[*] Sample 235: NULL
[*] Sample 236: 0
[*] Sample 237: NULL
[*] Sample 238: NULL
[*] Sample 239: NULL
[*] Sample 240: NULL
[*] Sample 241: NULL
[*] Sample 242: 9
[*] Sample 243: 9
[*] Sample 244: 1
[*] Sample 245: 7
[*] Sample 246: 4
[*] Sample 247: 9
[*] Sample 248: NULL
[*] Sample 249: 2
[*] Sample 250: 5
[*] Sample 251: 4
[*] Sample 252: NULL
[*] Sample 253: NULL
[*] Sample 254: 0
[*] Sample 255: 3
[*] Sample 256: 1
[*] Sample 257: NULL
[*] Sample 258: NULL
[*] Sample 259: 6
[*] Sample 260: NULL
[*] Sample 261: NULL
[*] Sample 262: 8
[*] Sample 263: NULL
[*] Sample 264: NULL
[*] Sample 265: NULL
[*] Sample 266: NULL
[*] Sample 267: NULL
[*] Sample 268: NULL
[*] Sample 269: 1
[*] Sample 270: 9
[*] Sample 271: NULL
[*] Sample 272: NULL
[*] Sample 273: 3
[*] Sample 274: NULL
[*] Sample 275: 2
[*] Sample 276: NULL
[*] Sample 277: NULL
[*] Sample 278: NULL
[*] Sample 279: NULL
[*] Sample 280: NULL
[*] Sample 281: 2
[*] Sample 282: NULL
[*] Sample 283: NULL
[*] Sample 284: NULL
[*] Sample 285: NULL
[*] Sample 286: 5
[*] Sample 287: NULL
[*] Sample 288: NULL
[*] Sample 289: 0
[*] Sample 290: 7
[*] Sample 291: 2
[*] Sample 292: 1
[*] Sample 293: NULL
[*] Sample 294: NULL
[*] Sample 295: NULL
[*] Sample 296: NULL
[*] Sample 297: 9
[*] Sample 298: NULL
[*] Sample 299: 6
[*] Sample 300: NULL
[*] Sample 301: NULL
[*] Sample 302: 9
[*] Sample 303: 2
[*] Sample 304: 2
[*] Sample 305: 1
[*] Sample 306: NULL
[*] Sample 307: NULL
[*] Sample 308: NULL
[*] Sample 309: 9
[*] Sample 310: 2
[*] Sample 311: 8
[*] Sample 312: 9
[*] Sample 313: NULL
[*] Sample 314: NULL
[*] Sample 315: NULL
[*] Sample 316: 0
[*] Sample 317: NULL
[*] Sample 318: NULL
[*] Sample 319: 2
[*] Sample 320: NULL
[*] Sample 321: 1
[*] Sample 322: NULL
[*] Sample 323: 2
[*] Sample 324: 6
[*] Sample 325: 1
[*] Sample 326: 6
[*] Sample 327: 6
[*] Sample 328: NULL
[*] Sample 329: 0
[*] Sample 330: NULL
[*] Sample 331: NULL
[*] Sample 332: NULL
[*] Sample 333: 1
[*] Sample 334: NULL
[*] Sample 335: 6
[*] Sample 336: 7
[*] Sample 337: 1
[*] Sample 338: NULL
[*] Sample 339: 7
[*] Sample 340: NULL
[*] Sample 341: 4
[*] Sample 342: 4
[*] Sample 343: NULL
[*] Sample 344: NULL
[*] Sample 345: NULL
[*] Sample 346: 2
[*] Sample 347: NULL
[*] Sample 348: NULL
[*] Sample 349: NULL
[*] Sample 350: NULL
[*] Sample 351: NULL
[*] Sample 352: NULL
[*] Sample 353: 4
[*] Sample 354: NULL
[*] Sample 355: 5
[*] Sample 356: NULL
[*] Sample 357: NULL
[*] Sample 358: 1
[*] Sample 359: NULL
[*] Sample 360: NULL
[*] Sample 361: 7
[*] Sample 362: NULL
[*] Sample 363: 6
[*] Sample 364: 6
[*] Sample 365: 9
[*] Sample 366: NULL
[*] Sample 367: NULL
[*] Sample 368: 2
[*] Sample 369: NULL
[*] Sample 370: NULL
[*] Sample 371: 9
[*] Sample 372: NULL
[*] Sample 373: NULL
[*] Sample 374: NULL
[*] Sample 375: 2
[*] Sample 376: NULL
[*] Sample 377: NULL
[*] Sample 378: NULL
[*] Sample 379: 5
[*] Sample 380: 0
[*] Sample 381: NULL
[*] Sample 382: 4
[*] Sample 383: 6
[*] Sample 384: 2
[*] Sample 385: 6
[*] Sample 386: NULL
[*] Sample 387: 3
[*] Sample 388: 4
[*] Sample 389: NULL
[*] Sample 390: NULL
[*] Sample 391: NULL
[*] Sample 392: NULL
[*] Sample 393: NULL
[*] Sample 394: 9
[*] Sample 395: 1
[*] Sample 396: NULL
[*] Sample 397: NULL
[*] Sample 398: NULL
[*] Sample 399: 4
[*] Sample 400: 2
[*] Sample 401: 9
[*] Sample 402: 2
[*] Sample 403: 6
[*] Sample 404: 3
[*] Sample 405: NULL
[*] Sample 406: NULL
[*] Sample 407: NULL
[*] Sample 408: NULL
[*] Sample 409: NULL
[*] Sample 410: 2
[*] Sample 411: NULL
[*] Sample 412: 6
[*] Sample 413: 2
[*] Sample 414: NULL
[*] Sample 415: 0
[*] Sample 416: NULL
[*] Sample 417: 7
[*] Sample 418: 2
[*] Sample 419: 8
[*] Sample 420: NULL
[*] Sample 421: 2
[*] Sample 422: NULL
[*] Sample 423: 4
[*] Sample 424: 9
[*] Sample 425: NULL
[*] Sample 426: NULL
[*] Sample 427: NULL
[*] Sample 428: NULL
[*] Sample 429: NULL
[*] Sample 430: NULL
[*] Sample 431: 1
[*] Sample 432: 7
[*] Sample 433: 6
[*] Sample 434: 3
[*] Sample 435: NULL
[*] Sample 436: NULL
[*] Sample 437: NULL
[*] Sample 438: 4
[*] Sample 439: 5
[*] Sample 440: 4
[*] Sample 441: NULL
[*] Sample 442: NULL
[*] Sample 443: 3
[*] Sample 444: NULL
[*] Sample 445: NULL
[*] Sample 446: 4
